name,description_text,image_url,type,rarity,habitat,climate,season,properties,effects,preparation,parts_used,harvest_difficulty,market_value,toxicity_level,antidote,magical_uses,growth_time,cultivable,warnings,lore,id,created_date,updated_date,created_by_id,created_by,is_sample,world_id
Fleur de Lune Argentée,Une fleur rare qui ne s'épanouit qu'au clair de lune. Ses pétales argentés brillent doucement dans l'obscurité et possèdent de puissantes propriétés curatives.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/be5077ac3_FleurdeLuneArgente.png,Plante médicinale,Rare,"Clairières forestières, uniquement la nuit",Tempéré,"Printemps et été, floraison nocturne",,,"Cueillir pendant la pleine lune, sécher à l'ombre puis réduire en poudre",,Difficile,25,,,Ingrédient essentiel pour les potions de soins,3 mois,FALSE,,,68e281d8c6f4ec5cd17e2a33,2025-10-05T14:34:00.636000,2025-11-15T08:31:28.910000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Racine de Mandragore,"Une racine magique en forme d'être humain qui pousse dans les cimetières. Son cri peut tuer, mais ses propriétés médicinales sont exceptionnelles.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/f19d04bec_RacinedeMandragore.png,Plante médicinale,Très rare,"Cimetières, lieux maudits",Tous climats,Toute l'année,,,"Arracher avec des protections auditives, bouillir pendant 3 heures",,Très difficile,150,Très toxique,Lait de licorne,"Potions de soins majeurs, antidotes puissants",2 ans,FALSE,Le cri de la mandragore peut être mortel. Toujours porter des protections auditives lors de la récolte.,,68e281d8c6f4ec5cd17e2a34,2025-10-05T14:34:00.636000,2025-11-15T08:25:05.047000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Belladone Noire,"Une plante mortelle aux baies noires brillantes. Utilisée avec précaution, elle peut créer des poisons redoutables ou des antidotes.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/198fbb510_Belladonenoire.png,Poison,Peu commune,"Forêts sombres, zones ombragées",Tempéré,Été,,,"Extraction du jus, distillation",,Moyen,15,Mortel,Charbon activé et lait,"Poisons, potions de sommeil",,FALSE,Extrêmement toxique. Ne jamais ingérer directement.,,68e281d8c6f4ec5cd17e2a35,2025-10-05T14:34:00.636000,2025-11-15T08:40:09.717000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Sauge Dorée,Une herbe sacrée aux feuilles dorées utilisée pour purifier et protéger. Excellent composant pour les potions de résistance.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/91b944e84_Saugedore.png,Plante médicinale,Commune,"Prairies ensoleillées, collines",Tempéré,Été,,,Sécher puis infuser,,Facile,3,,,"Potions de résistance, antidotes",,TRUE,,,68e281d8c6f4ec5cd17e2a36,2025-10-05T14:34:00.636000,2025-11-15T08:16:10.080000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Champignon Fantôme,Un champignon translucide qui pousse sur les arbres morts. Ses spores créent des illusions quand on les inhale.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/e8efc62a7_ChampignonFantme.png,Champignon,Rare,"Arbres morts, forêts anciennes",Tempéré,Automne,,,"Récolter les spores, les mélanger à de l'alcool",,Difficile,40,,,"Potions d'illusion, d'invisibilité",,FALSE,,,68e281d8c6f4ec5cd17e2a37,2025-10-05T14:34:00.636000,2025-11-15T08:34:41.548000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Jusquiame Noire,Plante velue et collante aux fleurs jaunâtres veinées de pourpre et odeur fétide. Utilisée depuis l'Antiquité pour ses propriétés narcotiques et hallucinogènes dangereuses.,,Poison,Peu commune,"Terrains vagues, ruines, décombres, cimetières",Tempéré,Été,,,"Toutes les parties sont toxiques. Les graines noires sont les plus dangereuses. Utilisée en onguents, teintures ou fumée.",,Moyen,40,Très toxique,"Sort de restauration mineure pour les symptômes légers, restauration supérieure pour les cas graves. Surveillance constante nécessaire.",Ingrédient des 'onguents de vol' des sorcières médiévales. Utilisée dans les potions de sommeil profond et les rituels de divination hallucinogène.,5 mois,TRUE,Odeur désagréable caractéristique. Les victimes peuvent devenir violentes et dangereuses pendant les hallucinations. Ne jamais laisser sans surveillance.,"Utilisée par les oracles de Delphes pour induire des visions. Les Assyriens l'appelaient 'plante de la mort'. Hamlet, père du prince, fut empoisonné avec cette plante dans la pièce de Shakespeare.",68e2285a8594e5e65ca996a2,2025-10-05T08:12:10.595000,2025-10-05T08:12:10.595000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Cigüe Aquatique,"Plante des marais aux ombelles blanches ressemblant au persil sauvage. Plus toxique encore que la ciguë tachetée, elle provoque des convulsions violentes avant la mort.",,Poison,Peu commune,"Marécages, bords d'étangs, cours d'eau lents",Tempéré,Été,,,EXTRÊMEMENT DANGEREUX. Souvent confondue avec des plantes comestibles - erreur fatale. Une bouchée suffit à tuer.,,Moyen,50,Mortel,Aucun antidote efficace. Seule la magie divine peut sauver. Sort de restauration majeure nécessaire immédiatement.,Rarement utilisée car trop imprévisible et violente. Certains nécromanciens l'étudient pour comprendre les convulsions mortelles.,6 mois,FALSE,CONFONDUE AVEC LE PANAIS SAUVAGE - ERREUR MORTELLE. Les racines tubéreuses ressemblent à des petites pommes de terre. Plusieurs morts de cueilleurs chaque année. NE JAMAIS GOÛTER une plante ombellière inconnue.,Considérée comme la plante la plus toxique d'Europe du Nord. Les Vikings l'utilisaient parfois pour empoisonner leurs ennemis. Aussi appelée 'carotte du diable'.,68e2285a8594e5e65ca996a3,2025-10-05T08:12:10.595000,2025-10-05T08:12:10.595000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Hellébore Noir,Appelée 'Rose de Noël' pour ses fleurs blanches hivernales. Plante vénéneuse utilisée dans l'Antiquité pour traiter la folie et comme poison de guerre.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/16a2d7e62_HellboreNoir.png,Poison,Peu commune,"Forêts de montagne, sous-bois rocheux",Montagnard,Hiver,,,Racines noires extrêmement toxiques. Utilisée pulvérisée sur les pointes de flèches dans l'Antiquité. Porter protection lors de toute manipulation.,,Difficile,45,Très toxique,Sort de restauration supérieure. L'ingestion de grandes quantités peut être mortelle sans intervention rapide.,"À doses infinitésimales, peut traiter certaines maladies mentales magiques. Utilisée dans les rituels de purification violente et d'exorcisme.",7 mois,TRUE,"TOUTE LA PLANTE EST TOXIQUE, même les fleurs. Le simple contact prolongé peut irriter la peau. Ne jamais planter près des zones de passage d'enfants ou d'animaux.",Les Grecs anciens l'utilisaient pour empoisonner leurs flèches lors du siège de Kirrha. On dit qu'Alexandre le Grand serait mort empoisonné par cette plante. Les légionnaires romains refusaient de camper près d'elle.,68e2285a8594e5e65ca996a4,2025-10-05T08:12:10.595000,2025-11-15T08:43:29.710000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Sabot de Vénus Empoisonné,Orchidée rare aux fleurs en forme de sabot. Derrière sa beauté se cache une sève irritante et toxique qui provoque des dermatites sévères.,,Poison,Rare,"Forêts anciennes, tourbières, marécages",Tempéré,Printemps,,,Ne pas récolter sans gants épais. La sève collante se transmet facilement aux mains puis au visage - très dangereux.,,Très difficile,30,Modérément toxique,Laver immédiatement à grande eau. Potion de neutralisation du poison pour les cas graves. Sort de restauration mineure soulage.,"Les druides la protègent farouchement. Sa rareté et sa beauté en font un ingrédient recherché pour certains rituels féérique, mais sa récolte est généralement interdite.",Plusieurs années,FALSE,"ESPÈCE PROTÉGÉE dans de nombreuses régions. La récolte est souvent illégale et punie par la loi. De plus, elle est toxique au toucher.",Les fées considèrent cette orchidée comme sacrée. La cueillir peut attirer leur colère et des malédictions. Les elfes sylvains punissent sévèrement ceux qui osent y toucher.,68e2285a8594e5e65ca996a5,2025-10-05T08:12:10.595000,2025-10-05T08:12:10.595000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Mercuriale Vivace,"Plante discrète aux petites fleurs verdâtres. Toxique et dangereuse, elle peut être confondue avec des plantes comestibles par les cueilleurs inexpérimentés.",,Poison,Commune,"Forêts, haies, jardins abandonnés",Tempéré,Printemps à été,,,Souvent confondue avec l'épinard sauvage ou autres plantes comestibles. Plusieurs cas d'empoisonnement accidentel chaque année.,,Facile,10,Modérément toxique,"Potion d'antitoxine. La plupart des victimes se rétablissent en quelques jours avec traitement, mais les cas graves nécessitent sort de restauration mineure.",Peu utilisée en magie. Certains alchimistes l'étudient pour ses propriétés hémolytiques.,4 mois,FALSE,RESSEMBLE À DES PLANTES COMESTIBLES. Apprendre à identifier correctement avant toute cueillette. Les enfants doivent être éduqués à ne pas toucher.,"Son nom vient du dieu Mercure. Dans le folklore, on disait que les sorcières l'utilisaient dans leurs potions. Les paysans expérimentés l'arrachent systématiquement de leurs jardins.",68e2285a8594e5e65ca996a6,2025-10-05T08:12:10.595000,2025-10-05T08:12:10.595000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Euphorbe Réveil-Matin,Plante aux tiges rougeâtres contenant un latex blanc très irritant. Son contact provoque des brûlures et des inflammations cutanées douloureuses.,,Poison,Commune,"Champs cultivés, vignes, jardins, terrains sablonneux",Tempéré,Été,,,NE PAS TOUCHER. Le latex blanc s'écoule au moindre contact. Se laver immédiatement les mains si contact. Ne JAMAIS toucher le visage après contact.,,Facile mais dangereux,5,Modérément toxique,Rinçage abondant à l'eau. Onguent de soin ou sort de soin des blessures pour les brûlures.,Le latex peut être utilisé pour créer des pièges non-létaux ou des marquages temporaires douloureux.,3 mois,FALSE,"TRÈS COMMUNE et donc responsable de nombreux accidents. Les enfants jouant dans les champs sont particulièrement à risque. SI LE LATEX TOUCHE LES YEUX, RINCER IMMÉDIATEMENT - risque de cécité.",Son nom vient du fait qu'elle 'réveille' brutalement celui qui la touche. Les paysans la détestent car elle envahit les cultures et blesse les travailleurs agricoles.,68e2285a8594e5e65ca996a7,2025-10-05T08:12:10.595000,2025-10-05T08:12:10.595000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Coloquinte Amère,"Cucurbitacée aux fruits ronds et verts ressemblant à de petites pastèques. Extrêmement amère et toxique, elle était utilisée comme purgatif violent dans l'Antiquité.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/d415f6aad_ColoquinteAmre.png,Poison,Peu commune,"Régions méditerranéennes, terrains sablonneux",Tempéré,Été à automne,,,DOSES EXTRÊMEMENT DANGEREUSES. Même une petite quantité peut causer des effets dévastateurs. Historiquement utilisée comme purgatif mais trop dangereuse.,,Facile,25,Très toxique,Réhydratation magique urgente. Sort de restauration mineure. Les cas graves nécessitent soins constants pendant 24 heures.,"À doses infinitésimales, peut être utilisée dans les potions de purification interne. Les alchimistes l'étudient avec grande précaution.",5 mois,TRUE,NE JAMAIS INGÉRER même en petite quantité. Les enfants peuvent être tentés par les fruits qui ressemblent à des melons miniatures. Peut causer la mort par déshydratation.,Mentionnée dans la Bible comme exemple d'amertume. Les médecins de l'Antiquité l'utilisaient mais provoquaient souvent plus de mal que de bien. Aussi appelée 'pomme de Sodome'.,68e2285a8594e5e65ca996a8,2025-10-05T08:12:10.595000,2025-11-15T09:18:53.768000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Tue-chien Toxique,Arbuste aux fleurs roses délicates mais mortellement toxiques. Son nom vient du fait que les chiens qui mâchent ses feuilles meurent rapidement.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/16fb60503_Tue-chienToxique.png,Poison,Commune,"Prairies, bords de chemins, lisières forestières",Tempéré,Été,,,"TOUTE LA PLANTE EST TOXIQUE. Les animaux domestiques sont particulièrement vulnérables. Plusieurs décès de chiens, chevaux et bétail chaque année.",,Facile,20,Mortel,"Sort de restauration supérieure nécessaire rapidement. Sans traitement, peut être fatal en quelques heures.",Rarement utilisée car dangereuse et difficile à doser. Certains empoisonneurs sans scrupules l'emploient.,5 mois,FALSE,EXTRÊMEMENT DANGEREUX POUR LES ANIMAUX. Les propriétaires d'animaux doivent apprendre à la reconnaître. Éloigner immédiatement les animaux si vous la repérez. Peut aussi empoisonner le miel produit à partir de ses fleurs.,"Son nom parle de lui-même. Les paysans l'arrachent systématiquement de leurs terres. Les chevaux refusent instinctivement de brouter près d'elle, montrant une sagesse que les humains n'ont pas toujours.",68e2285a8594e5e65ca996a9,2025-10-05T08:12:10.595000,2025-11-15T08:56:30.166000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Nerprun Purgatif,"Arbuste épineux aux baies noires brillantes. Utilisé autrefois comme purgatif violent, il est maintenant considéré comme trop dangereux pour usage médicinal.",,Poison,Commune,"Haies, lisières de forêts, friches",Tempéré,Automne,,,Les baies séchées sont légèrement moins violentes mais restent dangereuses. Historiquement utilisé comme purgatif mais provoquait souvent plus de mal que de bien.,,Facile,15,Modérément toxique,Réhydratation et repos. Potion d'antitoxine pour les cas modérés. Sort de restauration mineure pour les cas graves.,Utilisé dans certaines potions de 'purification interne' mais les effets secondaires sont souvent pires que les bénéfices.,6 mois,TRUE,"NE PAS CONFONDRE avec les baies comestibles. Les enfants peuvent être tentés par les baies noires brillantes. Peut causer une déshydratation dangereuse, surtout chez les personnes âgées et les jeunes enfants.","Autrefois largement utilisé en médecine, il est maintenant reconnu comme trop dangereux. Son utilisation a probablement causé plus de morts qu'elle n'a guéri de maladies. Les herboristes modernes l'évitent.",68e2285a8594e5e65ca996aa,2025-10-05T08:12:10.595000,2025-10-05T08:12:10.595000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Tabac Sauvage,"Plante aux grandes feuilles vertes et fleurs tubulaires. Contient de la nicotine en concentrations dangereuses. Mortelle à dose élevée, addictive à dose faible.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/a66ab483e_TabacSauvage.png,Poison,Commune,"Terres cultivées, jardins, champs",Tempéré,Été,,,"Les feuilles peuvent être mâchées, fumées ou préparées en infusion (très dangereux). Les feuilles fraîches sont particulièrement toxiques.",,Facile,10,Modérément toxique,Potion d'antitoxine pour l'intoxication aiguë. Le sevrage de l'addiction nécessite sort de restauration supérieure ou sevrage progressif douloureux.,"Fumée utilisée dans certains rituels chamaniques. Les feuilles séchées entrent dans quelques mélanges alchimiques, mais leur usage est controversé.",4 mois,TRUE,CRÉE UNE DÉPENDANCE. Les enfants qui mâchent les feuilles fraîches peuvent mourir. Usage régulier cause des maladies pulmonaires et cardiovasculaires à long terme. De nombreux royaumes en réglementent strictement la culture et le commerce.,"Importé du Nouveau Monde, son usage s'est répandu malgré sa toxicité. Certains marins et aventuriers en deviennent dépendants. Les clerc le déconseillent fortement, le considérant comme une 'mauvaise herbe du diable'.",68e2285a8594e5e65ca996ab,2025-10-05T08:12:10.595000,2025-11-15T08:52:56.429000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Morelle Douce-Amère,Liane grimpante aux fleurs violettes en forme d'étoile et baies rouges brillantes. Cousin moins toxique mais toujours dangereux de la belladone.,,Poison,Commune,"Haies, lisières de forêts, terrains vagues",Tempéré,Été à automne,,,"Les baies rouges sont les plus toxiques, particulièrement dangereuses pour les enfants. Les feuilles peuvent être utilisées en cataplasme externe uniquement.",,Très facile,15,Modérément toxique,Potion d'antitoxine ou sort de restauration mineure. La plupart des adultes survivent mais les enfants sont à haut risque.,Utilisée dans les potions mineures de poison et certains onguents. Moins puissante mais plus facile à obtenir que la belladone.,5 mois,TRUE,"Les baies rouges attirent les enfants. Bien que moins toxique que la belladone, elle peut quand même tuer, surtout les jeunes enfants. Ne jamais consommer.",Son nom vient de son goût d'abord doux puis amer. Les enfants des villages apprennent tôt à reconnaître et éviter ses baies tentantes. Certains l'appellent 'tue-enfant'.,68e2278ced491e7a3c2d0bd8,2025-10-05T08:08:44.066000,2025-10-05T08:08:44.066000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Sumac Vénéneux,Arbuste au feuillage brillant qui vire au rouge flamboyant en automne. Produit une sève huileuse causant des réactions cutanées sévères chez la plupart des gens.,,Poison,Commune,"Forêts, bords de sentiers, zones humides",Tempéré,Toute l'année,,,"NE PAS TOUCHER. NE JAMAIS BRÛLER - la fumée transporte l'huile toxique et peut causer des réactions internes graves, même mortelles.",,N/A - Ne pas récolter,0,Modérément toxique,Laver immédiatement à l'eau froide et au savon. Potion de neutralisation du poison pour les cas graves. Sort de restauration mineure soulage les symptômes.,Certains druides l'utilisent dans des rituels de protection de territoire. L'huile peut être extraite pour créer des pièges non-létaux.,6 mois,FALSE,"MÉMORISER SON APPARENCE: 'Feuilles de trois, laisse-les être' (en anglais: 'Leaves of three, let it be'). L'huile reste active pendant des années sur les objets. Ne JAMAIS brûler - la fumée peut être mortelle si inhalée.","Les Rangers enseignent à tous les aventuriers à reconnaître cette plante. Certains peuples autochtones ont développé une immunité et l'utilisent à des fins médicinales, mais c'est extrêmement rare.",68e2278ced491e7a3c2d0bd9,2025-10-05T08:08:44.066000,2025-10-05T08:08:44.066000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Belladone Mortelle,"Aussi appelée 'Belle Dame', cette plante aux baies noires brillantes et fleurs pourpres est l'un des poisons les plus célèbres de l'histoire. Même quelques baies peuvent être fatales.",,Poison,Peu commune,"Forêts ombragées, friches, ruines anciennes",Tempéré,Été à automne,,,"EXTRÊMEMENT DANGEREUX. Les baies, feuilles et racines peuvent être préparées en teinture, poudre ou extrait concentré. Porter des gants obligatoire.",,Difficile,50,Mortel,"Potion de restauration supérieure administrée immédiatement, ou sort de restauration majeure. Le temps est critique.",Utilisée dans les onguents de vol des sorcières et potions de cauchemar. Les assassins l'utilisent pour empoisonner la nourriture.,8 mois,TRUE,POISON MORTEL. Ne jamais toucher à mains nues. 2-5 baies suffisent à tuer un adulte. Toutes les parties de la plante sont toxiques. Tenir hors de portée des enfants et animaux.,Son nom vient des dames de la Renaissance qui l'utilisaient pour dilater leurs pupilles et paraître plus belles. Les sorcières médiévales l'utilisaient dans leurs rituels. Socrate aurait pu être empoisonné avec.,68e2278ced491e7a3c2d0bce,2025-10-05T08:08:44.065000,2025-10-05T08:08:44.065000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Ciguë Tachetée,Grande plante ombellière aux tiges tachetées de pourpre et à l'odeur désagréable de souris. C'est le poison qui tua Socrate dans l'Athènes antique.,,Poison,Peu commune,"Bords de cours d'eau, fossés, terrains humides",Tempéré,Été,,,EXTRÊMEMENT TOXIQUE. Toutes les parties peuvent être utilisées. L'ingestion de la plus petite quantité peut être fatale. NE JAMAIS CONFONDRE AVEC LE PERSIL.,,Moyen,45,Mortel,Aucun antidote spécifique connu. Nécessite sort de restauration majeure immédiatement. La mort survient en 2-3 heures sans traitement.,Utilisée dans les poisons de paralysie. Les assassins de haut rang l'emploient pour des exécutions 'propres'.,5 mois,FALSE,POISON MORTEL. RESSEMBLE AU PERSIL ET AUX CAROTTES SAUVAGES. Confusion souvent fatale. Ne jamais goûter une plante ombellière inconnue. L'odeur de souris est le signe distinctif.,"Le poison qui exécuta Socrate en 399 av. J.-C. Les Grecs anciens l'utilisaient pour les exécutions d'État. On dit que la victime meurt en pleine conscience, incapable de bouger.",68e2278ced491e7a3c2d0bcf,2025-10-05T08:08:44.065000,2025-10-05T08:08:44.065000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Digitale Pourpre,Belle plante aux fleurs en forme de clochettes pourpres tachetées. Contient des glycosides cardiaques puissants qui peuvent sauver ou tuer selon la dose.,,Poison,Commune,"Lisières de forêts, clairières, jardins",Tempéré,Été,,,"DOSES CRITIQUES. À très faible dose, peut réguler le rythme cardiaque. Au-delà, devient rapidement mortel. Réservé aux herboristes experts.",,Facile,30,Mortel,"Nécessite intervention magique immédiate. Sort de restauration mineure peut stabiliser, mais restauration majeure nécessaire pour guérison complète.","À doses infinitésimales, entre dans la composition de potions de régulation du cœur. Les empoisonneurs l'apprécient car difficile à détecter.",6 mois,TRUE,MORTEL À PETITES DOSES. Ne jamais ingérer. Le simple contact peut causer des irritations. Les enfants sont particulièrement vulnérables. La frontière entre dose thérapeutique et mortelle est infime.,Son nom vient du latin 'digitus' (doigt) car les fleurs ressemblent à des doigts de gant. Les guérisseurs l'utilisent avec extrême précaution pour les maladies cardiaques.,68e2278ced491e7a3c2d0bd0,2025-10-05T08:08:44.065000,2025-10-05T08:08:44.065000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Ricin Commun,"Plante tropicale aux grandes feuilles palmées et graines marbrées contenant la ricine, l'une des toxines naturelles les plus puissantes au monde.",,Poison,Peu commune,"Régions tropicales et subtropicales, jardins ornementaux",Tropical,Toute l'année,,,TOXINE MILITAIRE. Une seule graine mâchée peut tuer un adulte. L'extraction de ricine pure est extrêmement dangereuse et souvent illégale.,,Facile,75,Mortel,Aucun antidote spécifique. Seule la magie divine de haut niveau peut sauver la victime. Restauration majeure ou Souhait recommandés.,Strictement interdite dans la plupart des royaumes. Utilisée uniquement par les assassins les plus dangereux et certains nécromanciens.,4 mois,TRUE,ARME BIOLOGIQUE. Une des substances les plus toxiques connues. 1-2 graines suffisent à tuer. L'huile de ricin commerciale est sûre car la toxine est détruite lors du pressage. NE JAMAIS MÂCHER LES GRAINES.,Utilisée dans plusieurs assassinats historiques célèbres. Certains royaumes la considèrent comme une arme de guerre et interdisent sa culture.,68e2278ced491e7a3c2d0bd1,2025-10-05T08:08:44.065000,2025-10-05T08:08:44.065000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Aconit Tue-Loup,"Aussi appelée 'Casque de moine', cette plante aux magnifiques fleurs bleues violacées contient un poison si puissant qu'elle était utilisée pour empoisonner les flèches et tuer les loups.",,Poison,Peu commune,"Montagnes, prairies alpines, bords de ruisseaux en altitude",Montagnard,Été,,,MORTEL AU CONTACT. Les racines sont les plus toxiques. Utilisé pour empoisonner les armes. Porter protection obligatoire lors de toute manipulation.,,Difficile,60,Mortel,Sort de restauration majeure nécessaire immédiatement. Le poison agit très rapidement. Minutes comptent.,Ingrédient dans les potions anti-lycanthropie. Utilisée par les chasseurs de loups-garous. Entre dans les poisons de lame les plus puissants.,7 mois,TRUE,MORTEL PAR SIMPLE CONTACT. L'absorption par la peau peut tuer. Ne JAMAIS toucher sans gants épais. Les guerriers qui l'utilisent sur leurs armes doivent être extrêmement prudents.,Son nom grec 'aconite' signifie 'sans combat' car la mort survient rapidement. Les Rangers du Nord l'utilisent pour leurs flèches contre les loups. On dit qu'elle pousse où le chien Cerbère a bavé.,68e2278ced491e7a3c2d0bd2,2025-10-05T08:08:44.065000,2025-10-05T08:08:44.065000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
If Vénéneux,"Arbre ou arbuste aux aiguilles vert foncé et baies rouges charnues. Presque toutes ses parties sont mortellement toxiques, sauf l'arille rouge des baies. Symbole d'immortalité et de mort.",,Poison,Commune,"Forêts anciennes, cimetières, jardins de temples",Tempéré,Toute l'année,,,"TOUTES LES PARTIES TOXIQUES sauf la chair rouge de la baie. Les aiguilles, bois, écorce, et graines peuvent tuer. Ne jamais brûler l'if car la fumée est toxique.",,Facile,40,Mortel,Pas d'antidote spécifique. Sort de restauration majeure peut sauver si administré dans les minutes suivant l'empoisonnement. Temps critique.,Bois sacré utilisé pour fabriquer des baguettes de nécromancie. L'écorce entre dans les potions de longévité (paradoxalement). Planté dans les cimetières pour ses propriétés magiques.,Croissance très lente - des siècles,TRUE,"EXTRÊMEMENT TOXIQUE. Les chevaux, vaches et humains sont morts pour avoir brouté ses feuilles. Ne jamais brûler l'if comme bois de chauffage. Même les outils taillés dans l'if peuvent être dangereux.","Planté dans les cimetières depuis des millénaires, symbolisant la vie éternelle et la mort. Jules César écrivit que certains Gaulois préféraient s'empoisonner à l'if plutôt que de se rendre. Les druides le considèrent comme l'arbre le plus sacré.",68e2278ced491e7a3c2d0bd3,2025-10-05T08:08:44.065000,2025-10-05T08:08:44.065000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Datura Stramoine,"Plante aux grandes fleurs blanches en forme de trompette et fruits épineux. Appelée 'herbe du diable' ou 'pomme épineuse', elle cause des délires violents et dangereux.",,Poison,Commune,"Terrains vagues, friches, bords de chemins",Tempéré,Été à automne,,,IMPRÉVISIBLE ET DANGEREUX. La concentration varie énormément d'une plante à l'autre. Impossible de doser avec précision. Toutes les parties sont toxiques.,,Facile,35,Très toxique,Sort de restauration supérieure. Les effets peuvent durer plusieurs jours. Surveillance constante nécessaire car les victimes peuvent se blesser pendant les hallucinations.,Utilisée par les sorcières dans les onguents de 'vol'. Entre dans les potions de cauchemar et d'illusion. Les charlatans l'utilisent pour créer de fausses 'visions prophétiques'.,5 mois,TRUE,EXTRÊMEMENT DANGEREUX. Les victimes peuvent devenir violentes et ne se souviennent de rien. Impossible à doser en toute sécurité. De nombreux adolescents sont morts ou ont subi des dommages permanents. À ÉVITER ABSOLUMENT.,Utilisée par les sorcières et chamanes pour induire des transes. Les voleurs l'utilisaient pour rendre leurs victimes dociles puis amnésiques. Appelée 'herbe des sorcières' ou 'herbe du diable' dans de nombreuses cultures.,68e2278ced491e7a3c2d0bd4,2025-10-05T08:08:44.065000,2025-10-05T08:08:44.065000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Laurier-Rose Trompeur,"Magnifique arbuste aux fleurs roses, blanches ou rouges. Derrière sa beauté se cache l'une des plantes ornementales les plus toxiques, mortelle dans toutes ses parties.",,Poison,Commune,"Régions méditerranéennes, jardins ornementaux, bords de routes",Tempéré,Printemps à automne,,,"TOUTE LA PLANTE EST MORTELLE. Feuilles, fleurs, tiges, écorce, sève. Même l'eau dans laquelle la plante a trempé est toxique. NE JAMAIS brûler comme bois de chauffage ou pour grillades.",,Très facile,25,Mortel,Nécessite intervention magique immédiate. Sort de restauration majeure recommandé. Les symptômes peuvent être retardés de plusieurs heures.,Rarement utilisée en magie car trop imprévisible. Certains assassins l'emploient car elle pousse partout et semble innocente.,6 mois,TRUE,"MORTEL PAR INGESTION, INHALATION DE FUMÉE, ET CONTACT PROLONGÉ. Des soldats sont morts pour avoir fait griller de la viande sur des branches de laurier-rose. Un seul bâton utilisé pour remuer la nourriture peut tuer. Les enfants et animaux sont particulièrement à risque.","Des légendes racontent que des armées entières auraient été empoisonnées en utilisant le laurier-rose comme bois de cuisson. Malgré sa toxicité, il reste populaire dans les jardins pour sa beauté trompeuse.",68e2278ced491e7a3c2d0bd5,2025-10-05T08:08:44.065000,2025-10-05T08:08:44.065000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
