name,class,level,description,subclass,usage,uses_per_rest,rest_type,id,created_date,updated_date,created_by_id,created_by,is_sample
Archidruide,druid,20,"Vous pouvez utiliser Forme sauvage un nombre illimité de fois. De plus, vous pouvez ignorer les composantes verbales et somatiques de vos sorts de druide.",,passive,,none,68e2663bec30b2f6d1ea050c,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Style de combat (Guerrier),fighter,1,"Vous adoptez un style de combat comme spécialité : Archerie, Combat à deux armes, Défense, Duel, Combat à mains nues, Protection, ou Arme à deux mains.",,passive,,none,68e2663bec30b2f6d1ea050d,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Second souffle,fighter,1,"En action bonus, vous pouvez récupérer un nombre de PV égal à 1d10 + niveau de guerrier.",,bonus_action,1,short,68e2663bec30b2f6d1ea050e,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fougue,fighter,2,"En action, vous pouvez effectuer une action supplémentaire immédiatement (avec restrictions). Une fois utilisée, vous devez terminer un repos court ou long pour l'utiliser à nouveau.",,action,1,short,68e2663bec30b2f6d1ea050f,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Archétype martial,fighter,3,"Vous choisissez un archétype : Champion, Chevalier occulte, Maître de guerre, etc.",,passive,,none,68e2663bec30b2f6d1ea0510,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Amélioration de caractéristique (Guerrier),fighter,4,"Vous pouvez augmenter une valeur de caractéristique de 2, ou deux valeurs de 1. Vous ne pouvez pas augmenter une caractéristique au-delà de 20.",,passive,,none,68e2663bec30b2f6d1ea0511,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Attaque supplémentaire (Guerrier),fighter,5,Vous pouvez attaquer deux fois au lieu d'une lorsque vous réalisez l'action Attaquer durant votre tour.,,passive,,none,68e2663bec30b2f6d1ea0512,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Indomptable,fighter,9,"Vous pouvez relancer un jet de sauvegarde raté. Si vous le faites, vous devez utiliser le nouveau résultat.",,reaction,1,long,68e2663bec30b2f6d1ea0513,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Attaque supplémentaire (2),fighter,11,Vous pouvez attaquer trois fois au lieu d'une lorsque vous réalisez l'action Attaquer durant votre tour.,,passive,,none,68e2663bec30b2f6d1ea0514,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Attaque supplémentaire (3),fighter,20,Vous pouvez attaquer quatre fois au lieu d'une lorsque vous réalisez l'action Attaquer durant votre tour.,,passive,,none,68e2663bec30b2f6d1ea0515,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Défense sans armure (Moine),monk,1,"Tant que vous ne portez ni armure ni bouclier, votre CA est égale à 10 + modificateur de Dextérité + modificateur de Sagesse.",,passive,,none,68e2663bec30b2f6d1ea0516,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Arts martiaux,monk,1,Vos attaques à mains nues et avec armes de moine infligent 1d4 dégâts minimum. Vous pouvez utiliser Dextérité au lieu de Force. Vous pouvez effectuer une attaque à mains nues en action bonus après une action Attaquer.,,passive,,none,68e2663bec30b2f6d1ea0517,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Ki,monk,2,"Vous gagnez des points de ki (égal à niveau de moine) pour alimenter des capacités spéciales : Déluge de coups, Défense patiente, Déplacement aérien.",,limited_use,Niveau de moine,short,68e2663bec30b2f6d1ea0518,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Déplacement sans armure,monk,2,Votre vitesse augmente de 3m tant que vous ne portez ni armure ni bouclier. Ce bonus augmente avec les niveaux.,,passive,,none,68e2663bec30b2f6d1ea0519,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tradition monastique,monk,3,"Vous choisissez une tradition : Voie de la main ouverte, Voie de l'ombre, Voie des quatre éléments, etc.",,passive,,none,68e2663bec30b2f6d1ea051a,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Parade de projectiles,monk,3,"En réaction quand vous êtes touché par une attaque à distance, vous pouvez réduire les dégâts de 1d10 + modificateur de Dextérité + niveau de moine.",,reaction,,none,68e2663bec30b2f6d1ea051b,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Amélioration de caractéristique (Moine),monk,4,"Vous pouvez augmenter une valeur de caractéristique de 2, ou deux valeurs de 1. Vous ne pouvez pas augmenter une caractéristique au-delà de 20.",,passive,,none,68e2663bec30b2f6d1ea051c,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chute ralentie,monk,4,"En réaction, vous pouvez réduire les dégâts de chute que vous subissez d'un montant égal à 5 fois votre niveau de moine.",,reaction,,none,68e2663bec30b2f6d1ea051d,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Attaque supplémentaire (Moine),monk,5,Vous pouvez attaquer deux fois au lieu d'une lorsque vous réalisez l'action Attaquer durant votre tour.,,passive,,none,68e2663bec30b2f6d1ea051e,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Frappe étourdissante,monk,5,"Après avoir touché une créature avec une attaque de mêlée, vous pouvez dépenser 1 point de ki pour tenter de l'étourdir. La cible doit réussir un JdS de Constitution ou être étourdie jusqu'à la fin de votre prochain tour.",,limited_use,Coûte 1 ki,short,68e2663bec30b2f6d1ea051f,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Frappe de ki,monk,6,Vos attaques à mains nues comptent comme magiques pour surmonter les résistances et immunités.,,passive,,none,68e2663bec30b2f6d1ea0520,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Esquive totale,monk,7,"Quand vous êtes soumis à un effet qui permet un JdS de Dextérité pour ne subir que la moitié des dégâts, vous ne subissez aucun dégât en cas de réussite, et seulement la moitié en cas d'échec.",,passive,,none,68e2663bec30b2f6d1ea0521,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sérénité,monk,7,"À la fin d'un repos long, vous gagnez l'effet du sort Sanctuaire qui dure jusqu'au début de votre prochain repos long (DD = 8 + modificateur de Sagesse + bonus de maîtrise).",,passive,,long,68e2663bec30b2f6d1ea0522,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Esprit vide,monk,18,"En action, vous pouvez dépenser 4 points de ki pour lancer Invisibilité sur vous-même.",,action,Coûte 4 ki,short,68e2663bec30b2f6d1ea0523,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Corps parfait,monk,20,"Lorsque vous lancez l'initiative et qu'il ne vous reste aucun point de ki, vous récupérez 4 points de ki.",,passive,,none,68e2663bec30b2f6d1ea0524,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sens divin,paladin,1,"En action, vous détectez l'emplacement de célestes, fiélons ou morts-vivants dans un rayon de 18m qui ne sont pas derrière une couverture totale.",,action,1 + modificateur de Charisme,long,68e2663bec30b2f6d1ea0525,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Imposition des mains,paladin,1,"En action, vous touchez une créature pour lui rendre un nombre de PV égal à 5 fois votre niveau de paladin (réserve qui se recharge après repos long). Vous pouvez aussi dépenser 5 PV de cette réserve pour soigner une maladie ou poison.",,action,5 × niveau,long,68e2663bec30b2f6d1ea0526,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Style de combat (Paladin),paladin,2,"Vous adoptez un style de combat comme spécialité : Défense, Duel, Combat à deux armes, ou Protection.",,passive,,none,68e2663bec30b2f6d1ea0527,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Incantation (Paladin),paladin,2,Vous pouvez lancer des sorts de paladin. Vous préparez un nombre de sorts égal à la moitié de votre niveau de paladin + modificateur de Charisme (minimum 1).,,spell,,none,68e2663bec30b2f6d1ea0528,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Châtiment divin,paladin,2,"Lorsque vous touchez une créature avec une attaque de mêlée, vous pouvez dépenser un emplacement de sort pour infliger 2d8 dégâts radiants supplémentaires (+1d8 par niveau de sort au-delà du 1er).",,limited_use,Emplacements de sort,long,68e2663bec30b2f6d1ea0529,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Santé divine,paladin,3,Vous êtes immunisé aux maladies grâce à la magie divine qui vous traverse.,,passive,,none,68e2663bec30b2f6d1ea052a,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Serment sacré,paladin,3,"Vous prêtez serment qui vous lie à la cause de la justice : Serment de dévotion, Serment des anciens, Serment de vengeance, etc.",,passive,,none,68e2663bec30b2f6d1ea052b,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Amélioration de caractéristique (Paladin),paladin,4,"Vous pouvez augmenter une valeur de caractéristique de 2, ou deux valeurs de 1. Vous ne pouvez pas augmenter une caractéristique au-delà de 20.",,passive,,none,68e2663bec30b2f6d1ea052c,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Attaque supplémentaire (Paladin),paladin,5,Vous pouvez attaquer deux fois au lieu d'une lorsque vous réalisez l'action Attaquer durant votre tour.,,passive,,none,68e2663bec30b2f6d1ea052d,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Aura de protection,paladin,6,Vous et les créatures amicales dans un rayon de 3m gagnent un bonus aux jets de sauvegarde égal à votre modificateur de Charisme (minimum +1).,,passive,,none,68e2663bec30b2f6d1ea052e,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Aura de courage,paladin,10,Vous et les créatures amicales dans un rayon de 3m ne pouvez pas être effrayés tant que vous êtes conscient.,,passive,,none,68e2663bec30b2f6d1ea052f,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Châtiment divin amélioré,paladin,11,Toutes vos attaques de mêlée infligent 1d8 dégâts radiants supplémentaires.,,passive,,none,68e2663bec30b2f6d1ea0530,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Ennemi juré,ranger,1,Vous choisissez un type de créature comme ennemi juré. Vous avez l'avantage aux jets de Sagesse (Survie) pour les pister et aux jets d'Intelligence pour vous rappeler d'informations les concernant.,,passive,,none,68e2663bec30b2f6d1ea0531,2025-10-05T12:36:11.289000,2025-10-05T12:36:11.289000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Rage,barbarian,1,"En action bonus, vous pouvez entrer en rage pour 1 minute. En rage, vous gagnez : avantage aux jets de Force et JdS de Force, bonus aux dégâts de mêlée (+2 au niveau 1), résistance aux dégâts contondants, perforants et tranchants.",,limited_use,2,long,68e2663bec30b2f6d1ea04e6,2025-10-05T12:36:11.288000,2025-10-05T12:36:11.288000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Défense sans armure,barbarian,1,"Tant que vous ne portez pas d'armure, votre CA est égale à 10 + modificateur de Dextérité + modificateur de Constitution. Vous pouvez utiliser un bouclier.",,passive,,none,68e2663bec30b2f6d1ea04e7,2025-10-05T12:36:11.288000,2025-10-05T12:36:11.288000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
